"filename", "language", "JSON", "Ignore", "TypeScript", "JSON with Comments", "Svelte", "Markdown", "XML", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\mahmo\Code\admin-dr.shoaib-orthodontics\.prettierignore", "Ignore", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 2, 10
"c:\Users\mahmo\Code\admin-dr.shoaib-orthodontics\.prettierrc", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\mahmo\Code\admin-dr.shoaib-orthodontics\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mahmo\Code\admin-dr.shoaib-orthodontics\package-lock.json", "JSON", 2906, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2907
"c:\Users\mahmo\Code\admin-dr.shoaib-orthodontics\package.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\mahmo\Code\admin-dr.shoaib-orthodontics\src\app.d.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 7, 2, 14
"c:\Users\mahmo\Code\admin-dr.shoaib-orthodontics\src\app.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\mahmo\Code\admin-dr.shoaib-orthodontics\src\lib\Form.svelte", "Svelte", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 7, 102
"c:\Users\mahmo\Code\admin-dr.shoaib-orthodontics\src\lib\PatientCard.svelte", "Svelte", 0, 0, 0, 0, 616, 0, 0, 0, 0, 0, 41, 657
"c:\Users\mahmo\Code\admin-dr.shoaib-orthodontics\src\lib\TelInputElmnt.svelte", "Svelte", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 5, 52
"c:\Users\mahmo\Code\admin-dr.shoaib-orthodontics\src\lib\UnderConstruction.svelte", "Svelte", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\mahmo\Code\admin-dr.shoaib-orthodontics\src\lib\assets\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\mahmo\Code\admin-dr.shoaib-orthodontics\src\lib\database.types.ts", "TypeScript", 0, 0, 1421, 0, 0, 0, 0, 0, 0, 0, 0, 1421
"c:\Users\mahmo\Code\admin-dr.shoaib-orthodontics\src\lib\env.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
